Bidding Exercise,Announcement Date,Year,Category,Quota,Quota Premium,Total Bids Received,Number of Successful Bids
June 2015 First Open Bidding Exercise,4/6/2015,2015,Cat D (Motorcycles),339,6509,430,336
June 2015 First Open Bidding Exercise,4/6/2015,2015,Cat C (Goods vehicles and buses),371,50900,508,369
June 2015 First Open Bidding Exercise,4/6/2015,2015,Cat E (Open),272,75801,392,267
May 2015 Second Open Bidding Exercise,20/05/2015,2015,Cat A (Cars up to 1600cc and 97kW),1434,66590,2351,1431
May 2015 Second Open Bidding Exercise,20/05/2015,2015,Cat B (Cars above 1600cc or 97kW),948,75002,1401,948
May 2015 Second Open Bidding Exercise,20/05/2015,2015,Cat D (Motorcycles),334,6501,433,298
May 2015 Second Open Bidding Exercise,20/05/2015,2015,Cat C (Goods vehicles and buses),370,52001,546,365
May 2015 Second Open Bidding Exercise,20/05/2015,2015,Cat E (Open),283,78001,364,281
May 2015 First Open Bidding Exercise,6/5/2015,2015,Cat A (Cars up to 1600cc and 97kW),1444,68589,2891,1438
May 2015 First Open Bidding Exercise,6/5/2015,2015,Cat B (Cars above 1600cc or 97kW),934,77600,1631,934
May 2015 First Open Bidding Exercise,6/5/2015,2015,Cat D (Motorcycles),334,6512,462,321
May 2015 First Open Bidding Exercise,6/5/2015,2015,Cat C (Goods vehicles and buses),373,50098,545,370
May 2015 First Open Bidding Exercise,6/5/2015,2015,Cat E (Open),292,78004,445,290
April 2015 Second Open Bidding Exercise,22/04/2015,2015,Cat A (Cars up to 1600cc and 97kW),987,67601,2055,979
April 2015 Second Open Bidding Exercise,22/04/2015,2015,Cat B (Cars above 1600cc or 97kW),728,78001,1525,708
April 2015 Second Open Bidding Exercise,22/04/2015,2015,Cat D (Motorcycles),285,6801,376,277
April 2015 Second Open Bidding Exercise,22/04/2015,2015,Cat C (Goods vehicles and buses),194,53001,284,192
April 2015 Second Open Bidding Exercise,22/04/2015,2015,Cat E (Open),176,79500,331,163
April 2015 First Open Bidding Exercise,8/4/2015,2015,Cat A (Cars up to 1600cc and 97kW),988,67749,2340,970
April 2015 First Open Bidding Exercise,8/4/2015,2015,Cat B (Cars above 1600cc or 97kW),722,76612,1661,716
April 2015 First Open Bidding Exercise,8/4/2015,2015,Cat D (Motorcycles),286,6312,442,278
April 2015 First Open Bidding Exercise,8/4/2015,2015,Cat C (Goods vehicles and buses),188,64001,290,183
April 2015 First Open Bidding Exercise,8/4/2015,2015,Cat E (Open),187,78000,311,165
March 2015 Second Open Bidding Exercise,18/03/2015,2015,Cat A (Cars up to 1600cc and 97kW),987,64700,2251,987
March 2015 Second Open Bidding Exercise,18/03/2015,2015,Cat B (Cars above 1600cc or 97kW),723,71889,1354,717
March 2015 Second Open Bidding Exercise,18/03/2015,2015,Cat D (Motorcycles),286,5610,385,286
March 2015 Second Open Bidding Exercise,18/03/2015,2015,Cat C (Goods vehicles and buses),184,59999,345,175
March 2015 Second Open Bidding Exercise,18/03/2015,2015,Cat E (Open),174,72100,290,172
March 2015 First Open Bidding Exercise,4/3/2015,2015,Cat A (Cars up to 1600cc and 97kW),987,61410,2120,986
March 2015 First Open Bidding Exercise,4/3/2015,2015,Cat B (Cars above 1600cc or 97kW),723,68668,1239,723
March 2015 First Open Bidding Exercise,4/3/2015,2015,Cat D (Motorcycles),289,5501,343,288
March 2015 First Open Bidding Exercise,4/3/2015,2015,Cat C (Goods vehicles and buses),186,56501,315,183
March 2015 First Open Bidding Exercise,4/3/2015,2015,Cat E (Open),175,70500,322,162
February 2015 Second Open Bidding Exercise,17/02/2015,2015,Cat A (Cars up to 1600cc and 97kW),988,57199,1294,988
February 2015 Second Open Bidding Exercise,17/02/2015,2015,Cat B (Cars above 1600cc or 97kW),722,66751,1037,721
February 2015 Second Open Bidding Exercise,17/02/2015,2015,Cat D (Motorcycles),291,5800,396,290
February 2015 Second Open Bidding Exercise,17/02/2015,2015,Cat C (Goods vehicles and buses),185,53202,333,185
February 2015 Second Open Bidding Exercise,17/02/2015,2015,Cat E (Open),193,67901,373,193
February 2015 First Open Bidding Exercise,4/2/2015,2015,Cat A (Cars up to 1600cc and 97kW),992,62002,1295,991
February 2015 First Open Bidding Exercise,4/2/2015,2015,Cat B (Cars above 1600cc or 97kW),724,70890,959,723
February 2015 First Open Bidding Exercise,4/2/2015,2015,Cat D (Motorcycles),287,5504,384,283
February 2015 First Open Bidding Exercise,4/2/2015,2015,Cat C (Goods vehicles and buses),185,52101,311,183
February 2015 First Open Bidding Exercise,4/2/2015,2015,Cat E (Open),181,71921,288,181
January 2015 Second Open Bidding Exercise,21/01/2015,2015,Cat A (Cars up to 1600cc and 97kW),705,65001,1068,703
January 2015 Second Open Bidding Exercise,21/01/2015,2015,Cat B (Cars above 1600cc or 97kW),576,76889,915,576
January 2015 Second Open Bidding Exercise,21/01/2015,2015,Cat D (Motorcycles),366,4889,509,360
January 2015 Second Open Bidding Exercise,21/01/2015,2015,Cat C (Goods vehicles and buses),140,55012,247,139
January 2015 Second Open Bidding Exercise,21/01/2015,2015,Cat E (Open),264,76790,431,246
January 2015 First Open Bidding Exercise,7/1/2015,2015,Cat A (Cars up to 1600cc and 97kW),704,66010,940,698
January 2015 First Open Bidding Exercise,7/1/2015,2015,Cat B (Cars above 1600cc or 97kW),571,75289,833,570
January 2015 First Open Bidding Exercise,7/1/2015,2015,Cat D (Motorcycles),321,4403,374,319
January 2015 First Open Bidding Exercise,7/1/2015,2015,Cat C (Goods vehicles and buses),156,55011,296,155
January 2015 First Open Bidding Exercise,7/1/2015,2015,Cat E (Open),272,75200,386,265
December 2014 Second Open Bidding Exercise,17/12/2014,2014,Cat A (Cars up to 1600cc and 97kW),705,65889,868,699
December 2014 Second Open Bidding Exercise,17/12/2014,2014,Cat B (Cars above 1600cc or 97kW),579,74000,755,572
December 2014 Second Open Bidding Exercise,17/12/2014,2014,Cat D (Motorcycles),319,4312,367,270
December 2014 Second Open Bidding Exercise,17/12/2014,2014,Cat C (Goods vehicles and buses),149,52100,268,149
December 2014 Second Open Bidding Exercise,17/12/2014,2014,Cat E (Open),264,73990,446,264
December 2014 First Open Bidding Exercise,3/12/2014,2014,Cat A (Cars up to 1600cc and 97kW),709,67089,996,703
December 2014 First Open Bidding Exercise,3/12/2014,2014,Cat B (Cars above 1600cc or 97kW),584,74389,873,582
December 2014 First Open Bidding Exercise,3/12/2014,2014,Cat D (Motorcycles),318,4210,392,314
December 2014 First Open Bidding Exercise,3/12/2014,2014,Cat C (Goods vehicles and buses),141,60001,196,126
December 2014 First Open Bidding Exercise,3/12/2014,2014,Cat E (Open),265,76904,370,257
November 2014 Second Open Bidding Exercise,19/11/2014,2014,Cat A (Cars up to 1600cc and 97kW),701,67889,1144,694
November 2014 Second Open Bidding Exercise,19/11/2014,2014,Cat B (Cars above 1600cc or 97kW),570,72890,900,560
November 2014 Second Open Bidding Exercise,19/11/2014,2014,Cat D (Motorcycles),324,4189,389,322
November 2014 Second Open Bidding Exercise,19/11/2014,2014,Cat C (Goods vehicles and buses),142,65001,260,134
November 2014 Second Open Bidding Exercise,19/11/2014,2014,Cat E (Open),263,73900,382,263
November 2014 First Open Bidding Exercise,5/11/2014,2014,Cat A (Cars up to 1600cc and 97kW),703,64900,1196,692
November 2014 First Open Bidding Exercise,5/11/2014,2014,Cat B (Cars above 1600cc or 97kW),574,70890,832,559
November 2014 First Open Bidding Exercise,5/11/2014,2014,Cat D (Motorcycles),316,4290,380,315
November 2014 First Open Bidding Exercise,5/11/2014,2014,Cat C (Goods vehicles and buses),143,63701,257,143
November 2014 First Open Bidding Exercise,5/11/2014,2014,Cat E (Open),272,71300,403,271
October 2014 Second Open Bidding Exercise,23/10/2014,2014,Cat A (Cars up to 1600cc and 97kW),572,63990,1092,569
October 2014 Second Open Bidding Exercise,23/10/2014,2014,Cat B (Cars above 1600cc or 97kW),507,72002,822,506
October 2014 Second Open Bidding Exercise,23/10/2014,2014,Cat D (Motorcycles),317,4412,431,310
October 2014 Second Open Bidding Exercise,23/10/2014,2014,Cat C (Goods vehicles and buses),267,61000,416,266
October 2014 Second Open Bidding Exercise,23/10/2014,2014,Cat E (Open),242,72201,335,242
October 2014 First Open Bidding Exercise,9/10/2014,2014,Cat A (Cars up to 1600cc and 97kW),575,63880,1097,570
October 2014 First Open Bidding Exercise,9/10/2014,2014,Cat B (Cars above 1600cc or 97kW),505,72180,852,501
October 2014 First Open Bidding Exercise,9/10/2014,2014,Cat D (Motorcycles),316,4800,502,316
October 2014 First Open Bidding Exercise,9/10/2014,2014,Cat C (Goods vehicles and buses),259,57389,516,257
October 2014 First Open Bidding Exercise,9/10/2014,2014,Cat E (Open),245,72003,390,236
September 2014 Second Open Bidding Exercise,17/09/2014,2014,Cat A (Cars up to 1600cc and 97kW),573,62000,792,573
September 2014 Second Open Bidding Exercise,17/09/2014,2014,Cat B (Cars above 1600cc or 97kW),509,71990,785,507
September 2014 Second Open Bidding Exercise,17/09/2014,2014,Cat D (Motorcycles),320,4504,394,318
September 2014 Second Open Bidding Exercise,17/09/2014,2014,Cat C (Goods vehicles and buses),261,49889,437,252
September 2014 Second Open Bidding Exercise,17/09/2014,2014,Cat E (Open),256,74801,395,252
September 2014 First Open Bidding Exercise,3/9/2014,2014,Cat A (Cars up to 1600cc and 97kW),572,64841,813,568
September 2014 First Open Bidding Exercise,3/9/2014,2014,Cat B (Cars above 1600cc or 97kW),511,73010,909,511
September 2014 First Open Bidding Exercise,3/9/2014,2014,Cat D (Motorcycles),316,4453,382,316
September 2014 First Open Bidding Exercise,3/9/2014,2014,Cat C (Goods vehicles and buses),258,49901,429,256
September 2014 First Open Bidding Exercise,3/9/2014,2014,Cat E (Open),241,74403,385,235
August 2014 Second Open Bidding Exercise,20/08/2014,2014,Cat A (Cars up to 1600cc and 97kW),575,65710,994,574
August 2014 Second Open Bidding Exercise,20/08/2014,2014,Cat B (Cars above 1600cc or 97kW),506,72990,1137,502
August 2014 Second Open Bidding Exercise,20/08/2014,2014,Cat D (Motorcycles),322,4354,361,317
August 2014 Second Open Bidding Exercise,20/08/2014,2014,Cat C (Goods vehicles and buses),257,52390,427,254
August 2014 Second Open Bidding Exercise,20/08/2014,2014,Cat E (Open),241,72810,358,224
August 2014 First Open Bidding Exercise,6/8/2014,2014,Cat A (Cars up to 1600cc and 97kW),574,64600,1086,574
August 2014 First Open Bidding Exercise,6/8/2014,2014,Cat B (Cars above 1600cc or 97kW),507,68689,1090,501
August 2014 First Open Bidding Exercise,6/8/2014,2014,Cat D (Motorcycles),316,4353,360,315
August 2014 First Open Bidding Exercise,6/8/2014,2014,Cat C (Goods vehicles and buses),267,54009,519,267
August 2014 First Open Bidding Exercise,6/8/2014,2014,Cat E (Open),245,69001,429,243
July 2014 Second Open Bidding Exercise,23/07/2014,2014,Cat A (Cars up to 1600cc and 97kW),509,62890,1190,505
July 2014 Second Open Bidding Exercise,23/07/2014,2014,Cat B (Cars above 1600cc or 97kW),498,65001,850,497
July 2014 Second Open Bidding Exercise,23/07/2014,2014,Cat D (Motorcycles),347,4252,410,341
July 2014 Second Open Bidding Exercise,23/07/2014,2014,Cat C (Goods vehicles and buses),391,52010,779,391
July 2014 Second Open Bidding Exercise,23/07/2014,2014,Cat E (Open),319,65002,483,317
July 2014 First Open Bidding Exercise,9/7/2014,2014,Cat A (Cars up to 1600cc and 97kW),513,61990,1075,511
July 2014 First Open Bidding Exercise,9/7/2014,2014,Cat B (Cars above 1600cc or 97kW),493,64889,812,491
July 2014 First Open Bidding Exercise,9/7/2014,2014,Cat D (Motorcycles),344,4001,415,343
July 2014 First Open Bidding Exercise,9/7/2014,2014,Cat C (Goods vehicles and buses),392,43390,653,383
July 2014 First Open Bidding Exercise,9/7/2014,2014,Cat E (Open),294,63001,441,288
June 2014 Second Open Bidding Exercise,18/06/2014,2014,Cat A (Cars up to 1600cc and 97kW),509,61899,1040,506
June 2014 Second Open Bidding Exercise,18/06/2014,2014,Cat B (Cars above 1600cc or 97kW),490,65700,716,475
June 2014 Second Open Bidding Exercise,18/06/2014,2014,Cat D (Motorcycles),385,3890,503,381
June 2014 Second Open Bidding Exercise,18/06/2014,2014,Cat C (Goods vehicles and buses),391,42001,597,385
June 2014 Second Open Bidding Exercise,18/06/2014,2014,Cat E (Open),302,65301,434,276
June 2014 First Open Bidding Exercise,4/6/2014,2014,Cat A (Cars up to 1600cc and 97kW),507,63190,1040,499
June 2014 First Open Bidding Exercise,4/6/2014,2014,Cat B (Cars above 1600cc or 97kW),494,67304,807,484
June 2014 First Open Bidding Exercise,4/6/2014,2014,Cat D (Motorcycles),346,4089,449,346
June 2014 First Open Bidding Exercise,4/6/2014,2014,Cat C (Goods vehicles and buses),385,43001,617,378
June 2014 First Open Bidding Exercise,4/6/2014,2014,Cat E (Open),293,67334,465,292
May 2014 Second Open Bidding Exercise,21/05/2014,2014,Cat A (Cars up to 1600cc and 97kW),509,65689,997,506
May 2014 Second Open Bidding Exercise,21/05/2014,2014,Cat B (Cars above 1600cc or 97kW),484,68103,716,477
May 2014 Second Open Bidding Exercise,21/05/2014,2014,Cat D (Motorcycles),358,4003,492,316
May 2014 Second Open Bidding Exercise,21/05/2014,2014,Cat C (Goods vehicles and buses),392,40889,709,386
May 2014 Second Open Bidding Exercise,21/05/2014,2014,Cat E (Open),294,67290,497,285
May 2014 First Open Bidding Exercise,7/5/2014,2014,Cat A (Cars up to 1600cc and 97kW),513,60002,676,512
May 2014 First Open Bidding Exercise,7/5/2014,2014,Cat B (Cars above 1600cc or 97kW),483,70002,778,472
May 2014 First Open Bidding Exercise,7/5/2014,2014,Cat D (Motorcycles),343,4001,445,340
May 2014 First Open Bidding Exercise,7/5/2014,2014,Cat C (Goods vehicles and buses),389,36301,715,389
May 2014 First Open Bidding Exercise,7/5/2014,2014,Cat E (Open),295,65501,525,295
April 2014 Second Open Bidding Exercise,23/04/2014,2014,Cat A (Cars up to 1600cc and 97kW),361,71335,513,357
April 2014 Second Open Bidding Exercise,23/04/2014,2014,Cat B (Cars above 1600cc or 97kW),351,75010,486,349
April 2014 Second Open Bidding Exercise,23/04/2014,2014,Cat D (Motorcycles),365,4502,492,350
April 2014 Second Open Bidding Exercise,23/04/2014,2014,Cat C (Goods vehicles and buses),272,32980,392,266
April 2014 Second Open Bidding Exercise,23/04/2014,2014,Cat E (Open),192,73810,310,192
April 2014 First Open Bidding Exercise,9/4/2014,2014,Cat A (Cars up to 1600cc and 97kW),367,77400,537,360
April 2014 First Open Bidding Exercise,9/4/2014,2014,Cat B (Cars above 1600cc or 97kW),363,84504,523,363
April 2014 First Open Bidding Exercise,9/4/2014,2014,Cat D (Motorcycles),388,4489,520,388
April 2014 First Open Bidding Exercise,9/4/2014,2014,Cat C (Goods vehicles and buses),265,49503,303,261
April 2014 First Open Bidding Exercise,9/4/2014,2014,Cat E (Open),199,84100,283,197
March 2014 Second Open Bidding Exercise,19/03/2014,2014,Cat A (Cars up to 1600cc and 97kW),362,78602,577,360
March 2014 Second Open Bidding Exercise,19/03/2014,2014,Cat B (Cars above 1600cc or 97kW),353,82900,524,352
March 2014 Second Open Bidding Exercise,19/03/2014,2014,Cat D (Motorcycles),360,4289,449,355
March 2014 Second Open Bidding Exercise,19/03/2014,2014,Cat C (Goods vehicles and buses),266,53891,356,256
March 2014 Second Open Bidding Exercise,19/03/2014,2014,Cat E (Open),193,84001,293,192
March 2014 First Open Bidding Exercise,5/3/2014,2014,Cat A (Cars up to 1600cc and 97kW),365,76999,615,356
March 2014 First Open Bidding Exercise,5/3/2014,2014,Cat B (Cars above 1600cc or 97kW),350,80710,499,337
March 2014 First Open Bidding Exercise,5/3/2014,2014,Cat D (Motorcycles),368,4001,483,340
March 2014 First Open Bidding Exercise,5/3/2014,2014,Cat C (Goods vehicles and buses),265,56302,439,262
March 2014 First Open Bidding Exercise,5/3/2014,2014,Cat E (Open),193,82000,292,185
February 2014 Second Open Bidding Exercise,19/02/2014,2014,Cat A (Cars up to 1600cc and 97kW),362,77201,700,358
February 2014 Second Open Bidding Exercise,19/02/2014,2014,Cat B (Cars above 1600cc or 97kW),355,78604,519,353
February 2014 Second Open Bidding Exercise,19/02/2014,2014,Cat D (Motorcycles),360,3501,478,359
February 2014 Second Open Bidding Exercise,19/02/2014,2014,Cat C (Goods vehicles and buses),277,52890,392,273
February 2014 Second Open Bidding Exercise,19/02/2014,2014,Cat E (Open),193,79000,321,191
February 2014 First Open Bidding Exercise,5/2/2014,2014,Cat A (Cars up to 1600cc and 97kW),362,71564,719,356
February 2014 First Open Bidding Exercise,5/2/2014,2014,Cat B (Cars above 1600cc or 97kW),360,75300,523,360
February 2014 First Open Bidding Exercise,5/2/2014,2014,Cat D (Motorcycles),361,3051,550,353
February 2014 First Open Bidding Exercise,5/2/2014,2014,Cat C (Goods vehicles and buses),267,51002,364,264
February 2014 First Open Bidding Exercise,5/2/2014,2014,Cat E (Open),208,77003,351,205
January 2014 Second Open Bidding Exercise,22/01/2014,2014,Cat A (Cars up to 1600cc and 97kW),368,72290,724,364
January 2014 Second Open Bidding Exercise,22/01/2014,2014,Cat B (Cars above 1600cc or 97kW),393,79000,512,388
January 2014 Second Open Bidding Exercise,22/01/2014,2014,Cat D (Motorcycles),503,2704,796,503
January 2014 Second Open Bidding Exercise,22/01/2014,2014,Cat C (Goods vehicles and buses),264,50001,356,249
January 2014 Second Open Bidding Exercise,22/01/2014,2014,Cat E (Open),261,78810,373,259
January 2014 First Open Bidding Exercise,8/1/2014,2014,Cat A (Cars up to 1600cc and 97kW),364,72369,623,361
January 2014 First Open Bidding Exercise,8/1/2014,2014,Cat B (Cars above 1600cc or 97kW),386,78700,581,377
January 2014 First Open Bidding Exercise,8/1/2014,2014,Cat D (Motorcycles),489,1989,542,487
January 2014 First Open Bidding Exercise,8/1/2014,2014,Cat C (Goods vehicles and buses),258,48889,337,252
January 2014 First Open Bidding Exercise,8/1/2014,2014,Cat E (Open),261,79000,392,244
December 2013 Second Open Bidding Exercise,18/12/2013,2013,Cat A (Cars up to 1600cc and 97kW),367,74002,574,363
December 2013 Second Open Bidding Exercise,18/12/2013,2013,Cat B (Cars above 1600cc or 97kW),377,75700,500,357
December 2013 Second Open Bidding Exercise,18/12/2013,2013,Cat D (Motorcycles),524,1812,680,501
December 2013 Second Open Bidding Exercise,18/12/2013,2013,Cat C (Goods vehicles and buses),263,48001,338,256
December 2013 Second Open Bidding Exercise,18/12/2013,2013,Cat E (Open),268,77501,375,268
December 2013 First Open Bidding Exercise,4/12/2013,2013,Cat A (Cars up to 1600cc and 97kW),364,73160,591,364
December 2013 First Open Bidding Exercise,4/12/2013,2013,Cat B (Cars above 1600cc or 97kW),373,73010,549,360
December 2013 First Open Bidding Exercise,4/12/2013,2013,Cat D (Motorcycles),481,1782,647,473
December 2013 First Open Bidding Exercise,4/12/2013,2013,Cat C (Goods vehicles and buses),258,51112,359,257
December 2013 First Open Bidding Exercise,4/12/2013,2013,Cat E (Open),264,76901,365,264
November 2013 Second Open Bidding Exercise,20/11/2013,2013,Cat A (Cars up to 1600cc and 97kW),364,74991,650,361
November 2013 Second Open Bidding Exercise,20/11/2013,2013,Cat B (Cars above 1600cc or 97kW),379,79300,536,375
November 2013 Second Open Bidding Exercise,20/11/2013,2013,Cat D (Motorcycles),481,1712,543,437
November 2013 Second Open Bidding Exercise,20/11/2013,2013,Cat C (Goods vehicles and buses),258,55002,397,252
November 2013 Second Open Bidding Exercise,20/11/2013,2013,Cat E (Open),266,83000,410,259
November 2013 First Open Bidding Exercise,6/11/2013,2013,Cat A (Cars up to 1600cc and 97kW),368,72609,590,368
November 2013 First Open Bidding Exercise,6/11/2013,2013,Cat B (Cars above 1600cc or 97kW),376,84578,482,376
November 2013 First Open Bidding Exercise,6/11/2013,2013,Cat D (Motorcycles),487,1710,569,487
November 2013 First Open Bidding Exercise,6/11/2013,2013,Cat C (Goods vehicles and buses),257,55503,427,256
November 2013 First Open Bidding Exercise,6/11/2013,2013,Cat E (Open),273,89001,379,270
October 2013 Second Open Bidding Exercise,23/10/2013,2013,Cat A (Cars up to 1600cc and 97kW),373,76889,596,373
October 2013 Second Open Bidding Exercise,23/10/2013,2013,Cat B (Cars above 1600cc or 97kW),382,87910,515,376
October 2013 Second Open Bidding Exercise,23/10/2013,2013,Cat D (Motorcycles),482,1804,586,481
October 2013 Second Open Bidding Exercise,23/10/2013,2013,Cat C (Goods vehicles and buses),263,68002,358,262
October 2013 Second Open Bidding Exercise,23/10/2013,2013,Cat E (Open),269,92289,337,264
October 2013 First Open Bidding Exercise,9/10/2013,2013,Cat A (Cars up to 1600cc and 97kW),365,85000,615,361
October 2013 First Open Bidding Exercise,9/10/2013,2013,Cat B (Cars above 1600cc or 97kW),376,93500,649,373
October 2013 First Open Bidding Exercise,9/10/2013,2013,Cat D (Motorcycles),481,1961,567,475
October 2013 First Open Bidding Exercise,9/10/2013,2013,Cat C (Goods vehicles and buses),261,76310,315,261
October 2013 First Open Bidding Exercise,9/10/2013,2013,Cat E (Open),342,93889,483,330
September 2013 Second Open Bidding Exercise,18/09/2013,2013,Cat A (Cars up to 1600cc and 97kW),370,83751,654,361
September 2013 Second Open Bidding Exercise,18/09/2013,2013,Cat B (Cars above 1600cc or 97kW),377,86239,703,368
September 2013 Second Open Bidding Exercise,18/09/2013,2013,Cat D (Motorcycles),523,1703,579,521
September 2013 Second Open Bidding Exercise,18/09/2013,2013,Cat C (Goods vehicles and buses),263,76001,321,257
September 2013 Second Open Bidding Exercise,18/09/2013,2013,Cat E (Open),261,87001,459,253
September 2013 First Open Bidding Exercise,4/9/2013,2013,Cat A (Cars up to 1600cc and 97kW),366,77304,609,365
September 2013 First Open Bidding Exercise,4/9/2013,2013,Cat B (Cars above 1600cc or 97kW),381,77100,623,378
September 2013 First Open Bidding Exercise,4/9/2013,2013,Cat D (Motorcycles),481,1660,569,481
September 2013 First Open Bidding Exercise,4/9/2013,2013,Cat C (Goods vehicles and buses),258,73999,340,254
September 2013 First Open Bidding Exercise,4/9/2013,2013,Cat E (Open),263,80000,431,181
August 2013 Second Open Bidding Exercise,21/08/2013,2013,Cat A (Cars up to 1600cc and 97kW),366,76223,596,360
August 2013 Second Open Bidding Exercise,21/08/2013,2013,Cat B (Cars above 1600cc or 97kW),375,76607,627,371
August 2013 Second Open Bidding Exercise,21/08/2013,2013,Cat D (Motorcycles),491,1722,615,449
August 2013 Second Open Bidding Exercise,21/08/2013,2013,Cat C (Goods vehicles and buses),263,71001,385,257
August 2013 Second Open Bidding Exercise,21/08/2013,2013,Cat E (Open),264,79223,385,264
August 2013 First Open Bidding Exercise,7/8/2013,2013,Cat A (Cars up to 1600cc and 97kW),373,75556,754,371
August 2013 First Open Bidding Exercise,7/8/2013,2013,Cat B (Cars above 1600cc or 97kW),380,77600,682,373
August 2013 First Open Bidding Exercise,7/8/2013,2013,Cat D (Motorcycles),482,1792,568,481
August 2013 First Open Bidding Exercise,7/8/2013,2013,Cat C (Goods vehicles and buses),258,68251,364,257
August 2013 First Open Bidding Exercise,7/8/2013,2013,Cat E (Open),264,77989,407,261
July 2013 Second Open Bidding Exercise,17/07/2013,2013,Cat A (Cars up to 1600cc and 97kW),334,73989,621,332
July 2013 Second Open Bidding Exercise,17/07/2013,2013,Cat B (Cars above 1600cc or 97kW),303,76389,574,301
July 2013 Second Open Bidding Exercise,17/07/2013,2013,Cat D (Motorcycles),526,1712,652,516
July 2013 Second Open Bidding Exercise,17/07/2013,2013,Cat C (Goods vehicles and buses),232,65036,335,226
July 2013 Second Open Bidding Exercise,17/07/2013,2013,Cat E (Open),240,76802,425,237
July 2013 First Open Bidding Exercise,3/7/2013,2013,Cat A (Cars up to 1600cc and 97kW),338,73100,716,328
July 2013 First Open Bidding Exercise,3/7/2013,2013,Cat B (Cars above 1600cc or 97kW),331,77110,652,325
July 2013 First Open Bidding Exercise,3/7/2013,2013,Cat D (Motorcycles),538,1610,679,536
July 2013 First Open Bidding Exercise,3/7/2013,2013,Cat C (Goods vehicles and buses),226,61011,301,226
July 2013 First Open Bidding Exercise,3/7/2013,2013,Cat E (Open),288,77000,485,284
June 2013 Second Open Bidding Exercise,19/06/2013,2013,Cat A (Cars up to 1600cc and 97kW),342,69903,788,341
June 2013 Second Open Bidding Exercise,19/06/2013,2013,Cat B (Cars above 1600cc or 97kW),305,81751,734,304
June 2013 Second Open Bidding Exercise,19/06/2013,2013,Cat D (Motorcycles),554,1712,647,534
June 2013 Second Open Bidding Exercise,19/06/2013,2013,Cat C (Goods vehicles and buses),227,59001,289,221
June 2013 Second Open Bidding Exercise,19/06/2013,2013,Cat E (Open),251,83001,466,250
June 2013 First Open Bidding Exercise,5/6/2013,2013,Cat A (Cars up to 1600cc and 97kW),341,67301,855,336
June 2013 First Open Bidding Exercise,5/6/2013,2013,Cat B (Cars above 1600cc or 97kW),302,75000,732,274
June 2013 First Open Bidding Exercise,5/6/2013,2013,Cat D (Motorcycles),511,1701,616,479
June 2013 First Open Bidding Exercise,5/6/2013,2013,Cat C (Goods vehicles and buses),227,57989,292,226
June 2013 First Open Bidding Exercise,5/6/2013,2013,Cat E (Open),239,76000,534,189
May 2013 Second Open Bidding Exercise,22/05/2013,2013,Cat A (Cars up to 1600cc and 97kW),333,64839,888,324
May 2013 Second Open Bidding Exercise,22/05/2013,2013,Cat B (Cars above 1600cc or 97kW),332,67304,749,329
May 2013 Second Open Bidding Exercise,22/05/2013,2013,Cat D (Motorcycles),507,1663,642,459
May 2013 Second Open Bidding Exercise,22/05/2013,2013,Cat C (Goods vehicles and buses),233,56889,288,232
May 2013 Second Open Bidding Exercise,22/05/2013,2013,Cat E (Open),251,66701,466,239
May 2013 First Open Bidding Exercise,8/5/2013,2013,Cat A (Cars up to 1600cc and 97kW),336,62999,912,329
May 2013 First Open Bidding Exercise,8/5/2013,2013,Cat B (Cars above 1600cc or 97kW),317,61700,601,317
May 2013 First Open Bidding Exercise,8/5/2013,2013,Cat D (Motorcycles),600,1700,719,595
May 2013 First Open Bidding Exercise,8/5/2013,2013,Cat C (Goods vehicles and buses),225,57051,312,223
May 2013 First Open Bidding Exercise,8/5/2013,2013,Cat E (Open),239,62301,447,238
April 2013 Second Open Bidding Exercise,24/04/2013,2013,Cat A (Cars up to 1600cc and 97kW),333,62497,993,333
April 2013 Second Open Bidding Exercise,24/04/2013,2013,Cat B (Cars above 1600cc or 97kW),310,62000,683,281
April 2013 Second Open Bidding Exercise,24/04/2013,2013,Cat D (Motorcycles),506,1791,545,505
April 2013 Second Open Bidding Exercise,24/04/2013,2013,Cat C (Goods vehicles and buses),225,58502,354,218
April 2013 Second Open Bidding Exercise,24/04/2013,2013,Cat E (Open),240,62000,421,227
April 2013 First Open Bidding Exercise,10/4/2013,2013,Cat A (Cars up to 1600cc and 97kW),341,61029,966,339
April 2013 First Open Bidding Exercise,10/4/2013,2013,Cat B (Cars above 1600cc or 97kW),302,67010,835,287
April 2013 First Open Bidding Exercise,10/4/2013,2013,Cat D (Motorcycles),506,1812,680,412
April 2013 First Open Bidding Exercise,10/4/2013,2013,Cat C (Goods vehicles and buses),227,56011,334,227
April 2013 First Open Bidding Exercise,10/4/2013,2013,Cat E (Open),245,66989,450,244
March 2013 Second Open Bidding Exercise,27/03/2013,2013,Cat A (Cars up to 1600cc and 97kW),337,64209,923,337
March 2013 Second Open Bidding Exercise,27/03/2013,2013,Cat B (Cars above 1600cc or 97kW),307,73900,940,300
March 2013 Second Open Bidding Exercise,27/03/2013,2013,Cat D (Motorcycles),543,1909,634,543
March 2013 Second Open Bidding Exercise,27/03/2013,2013,Cat C (Goods vehicles and buses),225,54111,312,225
March 2013 Second Open Bidding Exercise,27/03/2013,2013,Cat E (Open),279,73301,635,227
